"name","domain","hqCountry","source","sourceEvidenceUrl"
"3M",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"A. O. Smith",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Abbott Laboratories",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"AbbVie",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Accenture",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Adobe Inc.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Advanced Micro Devices",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"AES Corporation",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Aflac",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Agilent Technologies",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Air Products",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Airbnb",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Akamai Technologies",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Albemarle Corporation",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Alexandria Real Estate Equities",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Align Technology",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Allegion",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Alliant Energy",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Allstate",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Alphabet Inc. (Class A)",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Alphabet Inc. (Class C)",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Altria",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Amazon",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Amcor",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Ameren",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"American Electric Power",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"American Express",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"American International Group",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"American Tower",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"American Water Works",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Ameriprise Financial",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Ametek",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Amgen",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Amphenol",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Analog Devices",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Aon plc",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"APA Corporation",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Apollo Global Management",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Apple Inc.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Applied Materials",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"AppLovin",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Aptiv",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Arch Capital Group",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Archer Daniels Midland",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Ares Management",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Arista Networks",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Arthur J. Gallagher & Co.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Assurant",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"AT&T",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Atmos Energy",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Autodesk",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Automatic Data Processing",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"AutoZone",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"AvalonBay Communities",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Avery Dennison",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Axon Enterprise",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Baker Hughes",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Ball Corporation",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Bank of America",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Baxter International",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Becton Dickinson",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Berkshire Hathaway",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Best Buy",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Bio-Techne",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Biogen",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"BlackRock",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Blackstone Inc.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Block, Inc.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"BNY Mellon",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Boeing",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Booking Holdings",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Boston Scientific",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Bristol Myers Squibb",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Broadcom",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Broadridge Financial Solutions",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Brown & Brown",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Brown–Forman",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Builders FirstSource",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Bunge Global",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"BXP, Inc.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"C.H. Robinson",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Cadence Design Systems",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Camden Property Trust",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Campbell's Company (The)",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Capital One",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Cardinal Health",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Carnival",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Carrier Global",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Carvana",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Casey's",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Caterpillar Inc.",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"Cboe Global Markets",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"CBRE Group",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
"CDW Corporation",,"US","sp500","https://github.com/datasets/s-and-p-500-companies"
