name,domain,source,sourceEvidenceUrl
"3M","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"A. O. Smith","hotwater.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Abbott Laboratories","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"AbbVie","abbvie.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Accenture","accenture.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Adobe Inc.","adobeinc.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Advanced Micro Devices","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"AES Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Aflac","aflac.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Agilent Technologies","agilent.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Air Products","airproducts.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Airbnb","airbnb.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Akamai Technologies","akamai.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Albemarle Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Alexandria Real Estate Equities","are.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Align Technology","aligntech.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Allegion","allegion.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Alliant Energy","alliantenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Allstate","allstate.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Alphabet Inc. (Class A)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Alphabet Inc. (Class C)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Altria","altria.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Amazon","amazon.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Amcor","amcor.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
